7
2
1,0,0,0,0,1,0,0,
Democratic, Working Families, Constitution, Independence, Green, Republican, American, Libertarian, 
# PrecinctID,RegisteredVoters,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,
45019325,1141,0.225352,0,0,0,0,0.753521,0,0,
45019326,619,0.960227,0,0,0,0,0.0170455,0,0,
45019327,2755,0.284188,0,0,0,0,0.673077,0,0,
45019328,1291,0.228155,0,0,0,0,0.703883,0,0,
45019329,350,0.346154,0,0,0,0,0.653846,0,0,
45019330,2142,0.293987,0,0,0,0,0.668151,0,0,
45019331,1521,0.386719,0,0,0,0,0.574219,0,0,
45019332,2848,0.249471,0,0,0,0,0.718816,0,0,
45019333,4060,0.210983,0,0,0,0,0.736994,0,0,
45019334,1785,0.32967,0,0,0,0,0.630037,0,0,
45019335,4845,0.263288,0,0,0,0,0.676143,0,0,
45019336,1881,0.410319,0,0,0,0,0.513514,0,0,
45019337,3698,0.516174,0,0,0,0,0.433193,0,0,
45019338,1793,0.206226,0,0,0,0,0.7393,0,0,
45019339,2251,0.26087,0,0,0,0,0.697723,0,0,
45019400,2110,0.431421,0,0,0,0,0.488778,0,0,
45019401,1033,0.853881,0,0,0,0,0.127854,0,0,
45019402,997,0.88,0,0,0,0,0.092,0,0,
45019403,1507,0.25523,0,0,0,0,0.694561,0,0,
45019404,795,0.231293,0,0,0,0,0.734694,0,0,
45019405,1728,0.507163,0,0,0,0,0.461318,0,0,
45019406,2075,0.40176,0,0,0,0,0.557185,0,0,
45019407,1645,0.574803,0,0,0,0,0.377953,0,0,
45019408,2477,0.427481,0,0,0,0,0.493639,0,0,
45019409,1642,0.412121,0,0,0,0,0.524242,0,0,
45019410,1754,0.407975,0,0,0,0,0.51227,0,0,
45019411,2009,0.338762,0,0,0,0,0.612378,0,0,
45019412,1371,0.213953,0,0,0,0,0.72093,0,0,
45019413,1598,0.354701,0,0,0,0,0.589744,0,0,
45019414,965,0.287879,0,0,0,0,0.636364,0,0,
45019415,1898,0.421053,0,0,0,0,0.502924,0,0,
45019417,2227,0.501484,0,0,0,0,0.400593,0,0,
45019419,1665,0.44127,0,0,0,0,0.466667,0,0,
45019420,1634,0.488294,0,0,0,0,0.448161,0,0,
45019422,1638,0.370504,0,0,0,0,0.535971,0,0,
45019440,2005,0.349741,0,0,0,0,0.61658,0,0,
45019441,1978,0.605911,0,0,0,0,0.332512,0,0,
45019442,4174,0.37963,0,0,0,0,0.572751,0,0,
45019443,2556,0.372943,0,0,0,0,0.566728,0,0,
45019444,1642,0.561446,0,0,0,0,0.404819,0,0,
45019445,1233,0.615672,0,0,0,0,0.350746,0,0,
45019460,880,0.813896,0,0,0,0,0.168734,0,0,
45019461,957,0.652997,0,0,0,0,0.29653,0,0,
45019462,1487,0.668235,0,0,0,0,0.308235,0,0,
45019463,1936,0.278761,0,0,0,0,0.683628,0,0,
45019464,1691,0.785185,0,0,0,0,0.17963,0,0,
45019465,1118,0.558219,0,0,0,0,0.414384,0,0,
45019466,1930,0.380383,0,0,0,0,0.576555,0,0,
45019501,788,0.63964,0,0,0,0,0.288288,0,0,
45019502,1427,0.58642,0,0,0,0,0.37037,0,0,
45019503,1536,0.814706,0,0,0,0,0.155882,0,0,
45019504,1434,0.292553,0,0,0,0,0.632979,0,0,
45019505,1354,0.46,0,0,0,0,0.486667,0,0,
45019506,1308,0.237885,0,0,0,0,0.704846,0,0,
45019507,1828,0.335616,0,0,0,0,0.589041,0,0,
45019508,1002,0.835979,0,0,0,0,0.10582,0,0,
45019509,1375,0.901961,0,0,0,0,0.0555556,0,0,
45019510,1209,0.563559,0,0,0,0,0.381356,0,0,
45019511,968,0.308219,0,0,0,0,0.630137,0,0,
45019512,1115,0.388889,0,0,0,0,0.541667,0,0,
45019513,1298,0.427027,0,0,0,0,0.524324,0,0,
45019514,1498,0.5,0,0,0,0,0.425325,0,0,
45019515,1528,0.772727,0,0,0,0,0.144628,0,0,
45019516,1142,0.348837,0,0,0,0,0.552326,0,0,
45019517,1768,0.349206,0,0,0,0,0.587302,0,0,
45019518,2031,0.686321,0,0,0,0,0.238208,0,0,
45019519,358,0.906667,0,0,0,0,0.08,0,0,
45019520,3019,0.60625,0,0,0,0,0.327083,0,0,
