,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
Bradley,201,28,3,0,1,0,42,0,1,75,,,,,,,,,,,,,,,,,,
Troy,147,17,1,0,0,0,24,0,1,43,,,,,,,,,,,,,,,,,,
Epworth,637,32,1,0,2,0,145,2,1,183,,,,,,,,,,,,,,,,,,
Verdery,1386,191,6,1,3,0,130,3,3,337,,,,,,,,,,,,,,,,,,
New Market,926,130,5,1,3,0,124,1,0,264,,,,,,,,,,,,,,,,,,
Emerald,689,147,1,0,4,0,21,4,1,178,,,,,,,,,,,,,,,,,,
Airport,958,35,2,0,2,1,150,0,4,194,,,,,,,,,,,,,,,,,,
Emerald High,594,24,0,0,2,1,84,0,0,111,,,,,,,,,,,,,,,,,,
Civic Center,1197,208,4,0,2,0,104,3,1,322,,,,,,,,,,,,,,,,,,
Riley,218,33,0,0,0,0,32,0,1,66,,,,,,,,,,,,,,,,,,
Shoals Junction,288,22,3,0,1,2,59,2,1,90,,,,,,,,,,,,,,,,,,
Greenwood Mill,815,37,4,1,1,2,92,4,0,141,,,,,,,,,,,,,,,,,,
Stonewood,1465,77,4,1,5,1,280,1,3,372,,,,,,,,,,,,,,,,,,
Mimosa Crest,819,52,1,0,3,0,95,0,3,154,,,,,,,,,,,,,,,,,,
Lower Lake,1050,28,3,0,6,0,233,0,1,271,,,,,,,,,,,,,,,,,,
Pinecrest,958,76,3,0,2,1,111,2,1,196,,,,,,,,,,,,,,,,,,
Maxwellton Pike,817,26,1,0,0,0,138,0,1,166,,,,,,,,,,,,,,,,,,
New Castle,924,50,3,0,2,1,149,0,2,207,,,,,,,,,,,,,,,,,,
Rutherford Shoals,772,84,2,0,4,2,113,0,1,206,,,,,,,,,,,,,,,,,,
Liberty,856,141,4,0,2,0,86,1,1,235,,,,,,,,,,,,,,,,,,
Biltmore Pines,1075,89,5,0,5,1,166,4,3,273,,,,,,,,,,,,,,,,,,
Marshall Oaks,662,129,3,0,1,0,26,3,2,164,,,,,,,,,,,,,,,,,,
Sparrows Grace,1278,36,1,0,1,0,254,1,0,293,,,,,,,,,,,,,,,,,,
Mountain Laurel,945,138,4,0,8,3,95,4,4,256,,,,,,,,,,,,,,,,,,
Allie's Crossing,830,72,7,0,3,2,133,0,0,217,,,,,,,,,,,,,,,,,,
Gideon's Way,849,128,3,1,1,0,75,1,0,209,,,,,,,,,,,,,,,,,,
Parson's Mill,847,66,0,0,3,0,99,1,4,173,,,,,,,,,,,,,,,,,,
Brunson,716,93,5,0,5,0,48,1,0,152,,,,,,,,,,,,,,,,,,
Hampton Courthouse No.1,1115,141,6,1,2,1,80,6,1,238,,,,,,,,,,,,,,,,,,
Hampton Courthouse No.2,1401,172,3,1,3,1,81,0,3,264,,,,,,,,,,,,,,,,,,
Varnville,2059,355,5,1,2,1,101,2,2,469,,,,,,,,,,,,,,,,,,
Early Branch,463,66,1,0,2,2,30,0,0,101,,,,,,,,,,,,,,,,,,
Garnett,160,70,0,0,0,0,5,0,0,75,,,,,,,,,,,,,,,,,,
Estill,2512,524,12,1,5,1,63,6,3,615,,,,,,,,,,,,,,,,,,
Bonnett,736,80,10,0,9,0,106,2,1,208,,,,,,,,,,,,,,,,,,
Furman,394,124,0,0,1,1,22,0,0,148,,,,,,,,,,,,,,,,,,
Scotia,404,138,3,0,3,0,3,1,2,150,,,,,,,,,,,,,,,,,,
Yemassee,1249,243,4,0,5,6,83,4,0,345,,,,,,,,,,,,,,,,,,
Horse Gall,80,1,0,0,0,0,8,1,0,10,,,,,,,,,,,,,,,,,,
Rivers Mill,65,16,1,0,1,0,2,0,0,20,,,,,,,,,,,,,,,,,,
Hopewell,318,13,1,0,3,2,36,0,0,55,,,,,,,,,,,,,,,,,,
Crocket-Miley,556,75,6,2,4,1,46,1,1,136,,,,,,,,,,,,,,,,,,
Cummings,809,155,5,0,4,0,71,0,0,235,,,,,,,,,,,,,,,,,,
Black Creek,244,21,1,0,2,1,24,0,0,49,,,,,,,,,,,,,,,,,,
Gifford,345,172,0,0,0,0,13,1,0,186,,,,,,,,,,,,,,,,,,
ADRIAN,2030,144,7,0,12,5,444,11,2,625,,,,,,,,,,,,,,,,,,
ALLSBROOK,677,40,0,0,2,0,176,3,0,221,,,,,,,,,,,,,,,,,,
ATLANTIC BEACH,412,43,0,0,1,0,5,0,0,49,,,,,,,,,,,,,,,,,,
AYNOR,1519,81,7,1,5,0,372,2,1,469,,,,,,,,,,,,,,,,,,
BAYBORO-GURLEY,1451,177,10,2,7,0,281,9,0,486,,,,,,,,,,,,,,,,,,
BROOKSVILLE #1,2934,219,8,1,16,4,556,3,3,810,,,,,,,,,,,,,,,,,,
BROWNWAY,1602,64,9,0,11,1,415,7,4,511,,,,,,,,,,,,,,,,,,
BURGESS #1,2282,133,5,1,10,2,448,3,4,606,,,,,,,,,,,,,,,,,,
BURGESS #2,3145,211,4,0,19,1,712,3,4,954,,,,,,,,,,,,,,,,,,
CAROLINA FOREST #1,3163,214,7,0,21,6,566,4,5,823,,,,,,,,,,,,,,,,,,
CAROLINA FOREST #2,2288,147,6,1,15,3,349,4,7,532,,,,,,,,,,,,,,,,,,
CEDAR GROVE,835,31,4,0,1,1,225,2,0,264,,,,,,,,,,,,,,,,,,
CHERRY GROVE #1,1852,102,4,0,10,0,388,3,1,508,,,,,,,,,,,,,,,,,,
CHERRY GROVE #2,1975,135,3,0,6,2,444,1,5,596,,,,,,,,,,,,,,,,,,
COASTAL CAROLINA,1909,172,0,0,12,5,214,3,9,415,,,,,,,,,,,,,,,,,,
COASTAL LANE #1,1161,349,2,1,5,1,35,2,1,396,,,,,,,,,,,,,,,,,,
COASTAL LANE #2,1568,294,3,1,7,4,74,6,1,390,,,,,,,,,,,,,,,,,,
COOL SPRINGS,429,38,0,0,1,0,103,0,0,142,,,,,,,,,,,,,,,,,,
CRESENT,1904,108,6,1,14,9,351,2,4,495,,,,,,,,,,,,,,,,,,
DAISY,1278,90,9,1,4,2,287,6,0,399,,,,,,,,,,,,,,,,,,
DEERFIELD,2642,186,10,0,13,2,586,4,7,808,,,,,,,,,,,,,,,,,,
DOGBLUFF,1025,34,0,1,1,0,262,2,1,301,,,,,,,,,,,,,,,,,,
DOGWOOD,1453,208,8,1,6,1,255,3,5,487,,,,,,,,,,,,,,,,,,
DUNES #1,2695,141,2,1,6,1,652,0,2,805,,,,,,,,,,,,,,,,,,
DUNES #2,1999,114,4,0,9,2,417,3,0,549,,,,,,,,,,,,,,,,,,
DUNES #3,1118,93,0,0,1,2,199,0,1,296,,,,,,,,,,,,,,,,,,
EAST CONWAY,1248,80,5,1,2,3,172,5,2,270,,,,,,,,,,,,,,,,,,
EAST LORIS,2652,325,16,1,21,1,444,5,4,817,,,,,,,,,,,,,,,,,,
EBENEZER,1815,150,5,1,6,0,530,2,3,697,,,,,,,,,,,,,,,,,,
EMERALD FOREST #1,2692,208,12,0,19,5,345,10,4,603,,,,,,,,,,,,,,,,,,
EMERALD FOREST #2,3630,277,14,1,31,2,592,8,9,934,,,,,,,,,,,,,,,,,,
EMERALD FOREST #3,2305,163,7,1,16,5,481,4,9,686,,,,,,,,,,,,,,,,,,
ENTERPRISE,3490,279,8,0,22,4,704,8,5,1030,,,,,,,,,,,,,,,,,,
FORESTBROOK,3144,262,11,1,16,6,638,5,6,945,,,,,,,,,,,,,,,,,,
FOUR MILE,1949,160,9,0,11,2,420,3,3,608,,,,,,,,,,,,,,,,,,
GALLIVANTS FERRY,176,12,0,1,0,0,45,0,0,58,,,,,,,,,,,,,,,,,,
GARDEN CITY #1,2176,135,5,0,9,0,511,3,2,665,,,,,,,,,,,,,,,,,,
GARDEN CITY #2,1410,58,0,0,4,0,365,1,1,429,,,,,,,,,,,,,,,,,,
GARDEN CITY #3,1984,177,4,0,10,4,372,2,2,571,,,,,,,,,,,,,,,,,,
GARDEN CITY #4,1251,107,4,1,8,1,291,2,2,416,,,,,,,,,,,,,,,,,,
GLENNS BAY,2217,145,5,1,12,5,436,0,4,608,,,,,,,,,,,,,,,,,,
GREEN SEA,989,106,2,0,2,1,192,3,2,308,,,,,,,,,,,,,,,,,,
HICKORY GROVE,1486,87,2,3,11,3,394,8,4,512,,,,,,,,,,,,,,,,,,
HICKORY HILL,154,9,1,1,0,1,43,1,0,56,,,,,,,,,,,,,,,,,,
HOMEWOOD,1457,149,5,0,7,2,268,7,2,440,,,,,,,,,,,,,,,,,,
HORRY,1054,35,12,0,3,2,285,3,1,341,,,,,,,,,,,,,,,,,,
INLAND,372,74,2,0,1,0,86,0,0,163,,,,,,,,,,,,,,,,,,
JACKSON BLUFF,688,39,4,1,7,0,122,0,3,176,,,,,,,,,,,,,,,,,,
JAMESTOWN,3151,371,9,3,19,2,459,6,3,872,,,,,,,,,,,,,,,,,,
JERIGANS CROSSROADS,686,36,1,0,3,0,200,3,0,243,,,,,,,,,,,,,,,,,,
JET PORT #1,2105,149,2,1,8,4,299,5,2,470,,,,,,,,,,,,,,,,,,
JET PORT #2,4013,325,5,2,19,2,727,7,5,1092,,,,,,,,,,,,,,,,,,
JORDANVILLE,518,7,2,0,1,4,184,0,0,198,,,,,,,,,,,,,,,,,,
JOYNER SWAMP,408,27,3,0,1,0,91,1,0,123,,,,,,,,,,,,,,,,,,
JUNIPER BAY,1867,106,8,1,12,4,416,5,4,556,,,,,,,,,,,,,,,,,,
LAKE PARK,6407,398,16,1,23,7,859,9,15,1328,,,,,,,,,,,,,,,,,,
LEON,1497,326,4,1,8,0,211,12,3,565,,,,,,,,,,,,,,,,,,
LITTLE RIVER #1,1688,105,2,1,11,2,392,3,3,519,,,,,,,,,,,,,,,,,,
LITTLE RIVER #2,2961,212,4,3,20,2,595,5,6,847,,,,,,,,,,,,,,,,,,
LITTLE RIVER #3,2102,155,4,0,8,4,483,4,2,660,,,,,,,,,,,,,,,,,,
LIVE OAK,673,99,3,1,3,0,146,2,2,256,,,,,,,,,,,,,,,,,,
MAPLE,1262,131,4,1,3,1,306,3,4,453,,,,,,,,,,,,,,,,,,
MARLOWE #1,2507,175,6,0,7,1,566,5,8,768,,,,,,,,,,,,,,,,,,
METHODIST-MILL SWAMP,740,8,2,0,1,2,264,3,0,280,,,,,,,,,,,,,,,,,,
MT. OLIVE,886,93,2,2,3,3,203,2,2,310,,,,,,,,,,,,,,,,,,
MT. VERNON,605,25,2,0,1,2,186,1,0,217,,,,,,,,,,,,,,,,,,
MYRTLE TRACE,1573,94,1,0,14,6,303,1,2,421,,,,,,,,,,,,,,,,,,
MYRTLEWOOD #1,1742,122,7,0,10,4,205,1,3,352,,,,,,,,,,,,,,,,,,
MYRTLEWOOD #2,1807,133,0,0,5,0,336,1,4,479,,,,,,,,,,,,,,,,,,
MYRTLEWOOD #3,1818,116,4,0,8,4,367,1,4,504,,,,,,,,,,,,,,,,,,
NIXONS XROADS #1,2011,143,3,0,14,3,366,0,1,530,,,,,,,,,,,,,,,,,,
NIXONS XROADS #2,2820,335,10,4,12,0,474,3,4,842,,,,,,,,,,,,,,,,,,
NORTH CONWAY #1,1481,193,12,0,8,1,193,3,3,413,,,,,,,,,,,,,,,,,,
NORTH CONWAY #2,1208,91,4,1,3,1,188,2,1,291,,,,,,,,,,,,,,,,,,
OCEAN DRIVE #1,2225,121,6,2,12,4,433,4,4,586,,,,,,,,,,,,,,,,,,
OCEAN DRIVE #2,3247,139,0,0,9,1,735,3,4,891,,,,,,,,,,,,,,,,,,
OCEAN FOREST #1,1662,101,2,1,9,2,308,4,5,432,,,,,,,,,,,,,,,,,,
OCEAN FOREST #2,1869,119,1,0,9,3,315,2,2,451,,,,,,,,,,,,,,,,,,
OCEAN FOREST #3,1326,138,3,1,6,4,155,2,4,313,,,,,,,,,,,,,,,,,,
PALMETTO BAYS,3539,212,9,2,17,7,688,4,8,947,,,,,,,,,,,,,,,,,,
PAWLEYS SWAMP,627,21,1,0,4,2,164,3,1,196,,,,,,,,,,,,,,,,,,
PLEASANT VIEW,238,18,1,0,1,0,62,0,0,82,,,,,,,,,,,,,,,,,,
POPLAR HILL,805,25,6,0,1,2,235,2,0,271,,,,,,,,,,,,,,,,,,
PORT HARRELSON,752,369,2,0,2,0,23,1,3,400,,,,,,,,,,,,,,,,,,
RACEPATH #1,1375,209,8,1,4,3,137,2,2,366,,,,,,,,,,,,,,,,,,
RACEPATH #2,1687,486,6,1,5,2,17,0,0,517,,,,,,,,,,,,,,,,,,
RED BLUFF,1001,177,7,0,9,0,161,4,1,359,,,,,,,,,,,,,,,,,,
RED HILL #1,1442,86,6,0,4,2,227,3,6,334,,,,,,,,,,,,,,,,,,
RED HILL #2,2476,211,8,0,18,5,462,6,3,713,,,,,,,,,,,,,,,,,,
SALEM,2058,115,7,2,20,7,469,8,2,630,,,,,,,,,,,,,,,,,,
SEA OATS #1,2240,170,8,0,10,2,248,14,1,453,,,,,,,,,,,,,,,,,,
SEA OATS #2,1826,282,6,3,6,5,203,3,2,510,,,,,,,,,,,,,,,,,,
SEA WINDS,3608,289,9,2,20,1,684,13,3,1021,,,,,,,,,,,,,,,,,,
SHELL,1094,40,8,2,9,0,322,3,2,386,,,,,,,,,,,,,,,,,,
SOCASTEE #1,3378,207,10,0,24,4,529,4,3,781,,,,,,,,,,,,,,,,,,
SOCASTEE #2,1694,88,9,1,6,6,406,2,6,524,,,,,,,,,,,,,,,,,,
SOCASTEE #3,3251,222,14,1,26,7,733,12,4,1019,,,,,,,,,,,,,,,,,,
SOCASTEE #4,4580,310,9,2,24,8,678,4,9,1044,,,,,,,,,,,,,,,,,,
SPRING BRANCH,351,21,3,0,0,1,87,2,0,114,,,,,,,,,,,,,,,,,,
SURFSIDE #1,2420,163,5,2,12,3,455,7,3,650,,,,,,,,,,,,,,,,,,
SURFSIDE #2,1128,51,1,0,4,0,224,0,0,280,,,,,,,,,,,,,,,,,,
SURFSIDE #3,2538,154,3,0,14,6,545,3,8,733,,,,,,,,,,,,,,,,,,
SURFSIDE #4,2652,140,6,0,18,3,548,5,2,722,,,,,,,,,,,,,,,,,,
SWEET HOME,1025,204,5,1,10,0,170,6,4,400,,,,,,,,,,,,,,,,,,
TAYLORSVILLE,333,5,1,0,0,0,90,1,0,97,,,,,,,,,,,,,,,,,,
TILLY SWAMP,1199,81,4,0,11,1,319,3,3,422,,,,,,,,,,,,,,,,,,
TODDVILLE,1310,123,6,1,14,3,273,0,4,424,,,,,,,,,,,,,,,,,,
WAMPEE,1784,477,11,4,5,2,197,6,1,703,,,,,,,,,,,,,,,,,,
WEST CONWAY,789,86,1,0,3,1,73,0,1,165,,,,,,,,,,,,,,,,,,
WEST LORIS,937,264,2,1,5,0,63,1,2,338,,,,,,,,,,,,,,,,,,
WHITE OAK,668,23,3,0,7,0,200,3,1,237,,,,,,,,,,,,,,,,,,
WILD WING,3022,230,10,0,18,2,573,13,5,851,,,,,,,,,,,,,,,,,,
WINDY HILL #1,1436,108,2,0,6,1,276,4,2,399,,,,,,,,,,,,,,,,,,
WINDY HILL #2,2240,140,3,0,9,0,565,0,1,718,,,,,,,,,,,,,,,,,,
BURGESS #3,3083,200,5,0,23,3,687,5,5,928,,,,,,,,,,,,,,,,,,
MARLOWE #2,3101,230,5,0,13,1,645,4,5,903,,,,,,,,,,,,,,,,,,
BURGESS #4,1855,129,2,0,14,0,423,2,1,571,,,,,,,,,,,,,,,,,,
MARLOWE #3,1843,133,4,1,13,2,340,2,4,499,,,,,,,,,,,,,,,,,,
BROOKSVILLE #2,1064,119,7,0,9,0,178,0,1,314,,,,,,,,,,,,,,,,,,
CAROLINA BAYS,1909,107,1,1,12,1,383,1,5,511,,,,,,,,,,,,,,,,,,
NIXONS XROADS #3,1573,173,3,1,13,3,328,4,0,525,,,,,,,,,,,,,,,,,,
RIVER OAKS,2290,130,2,1,10,2,454,4,8,611,,,,,,,,,,,,,,,,,,
Coosawhatchie,629,56,0,0,9,0,10,1,0,76,,,,,,,,,,,,,,,,,,
Gillisonville,726,56,1,1,5,0,31,2,1,97,,,,,,,,,,,,,,,,,,
Grahamville 1,1321,84,6,0,10,1,78,3,0,182,,,,,,,,,,,,,,,,,,
Grahamville 2,2296,197,4,1,16,4,69,6,2,299,,,,,,,,,,,,,,,,,,
Grays,760,50,1,1,2,0,62,2,0,118,,,,,,,,,,,,,,,,,,
Hardeeville 1,1608,158,9,2,12,4,113,4,3,305,,,,,,,,,,,,,,,,,,
Hardeeville 2,985,188,0,0,3,0,45,3,1,240,,,,,,,,,,,,,,,,,,
Levy,2002,265,7,1,9,3,124,5,1,415,,,,,,,,,,,,,,,,,,
Oakatie,1458,140,2,1,17,0,133,2,7,302,,,,,,,,,,,,,,,,,,
Pineland,865,123,5,1,10,1,9,0,1,150,,,,,,,,,,,,,,,,,,
Ridgeland 1,1238,58,3,0,7,0,57,2,1,128,,,,,,,,,,,,,,,,,,
Ridgeland 2,1207,80,5,1,6,0,52,2,1,147,,,,,,,,,,,,,,,,,,
Tillman,831,69,7,1,8,1,25,1,1,113,,,,,,,,,,,,,,,,,,
Ridgeland 3,969,46,2,0,8,2,37,3,0,98,,,,,,,,,,,,,,,,,,
Sun City,1683,129,1,0,4,1,355,0,2,492,,,,,,,,,,,,,,,,,,
Airport,1171,71,4,0,7,1,114,3,2,202,,,,,,,,,,,,,,,,,,
Antioch,854,81,4,0,5,0,171,3,2,266,,,,,,,,,,,,,,,,,,
Bethune,1226,176,5,1,7,2,200,6,2,399,,,,,,,,,,,,,,,,,,
Buffalo,935,72,3,1,2,2,212,0,0,292,,,,,,,,,,,,,,,,,,
Camden No. 1,1545,212,3,1,9,2,87,0,0,314,,,,,,,,,,,,,,,,,,
Camden No. 2 & 3,413,24,0,0,0,0,22,1,1,48,,,,,,,,,,,,,,,,,,
Hobkirk's Hill,1743,118,4,1,0,2,108,1,5,239,,,,,,,,,,,,,,,,,,
Camden No. 5,915,25,1,0,1,2,65,0,1,95,,,,,,,,,,,,,,,,,,
Camden No. 5-A,612,113,0,0,0,0,24,0,0,137,,,,,,,,,,,,,,,,,,
Camden No. 6,456,30,0,0,2,0,37,1,1,71,,,,,,,,,,,,,,,,,,
Cassatt,1530,140,11,2,9,1,257,5,3,428,,,,,,,,,,,,,,,,,,
Charlotte Thompson,1565,214,5,0,3,0,169,4,1,396,,,,,,,,,,,,,,,,,,
Doby's Mill,1904,188,15,1,5,4,354,4,6,577,,,,,,,,,,,,,,,,,,
E. Camden-Hermitage,544,47,8,1,3,0,63,1,0,123,,,,,,,,,,,,,,,,,,
Elgin No. 1,2098,143,8,0,9,0,381,3,4,548,,,,,,,,,,,,,,,,,,
Elgin No. 2,1593,150,7,1,5,2,252,7,3,427,,,,,,,,,,,,,,,,,,
Elgin No. 3,1346,122,3,0,4,2,178,1,4,314,,,,,,,,,,,,,,,,,,
Elgin No. 4,2000,174,10,1,11,0,307,1,2,506,,,,,,,,,,,,,,,,,,
Elgin No. 5,1371,103,5,0,6,2,264,1,2,383,,,,,,,,,,,,,,,,,,
Elgin No. 6,1200,144,7,0,7,2,147,1,2,310,,,,,,,,,,,,,,,,,,
Gates Ford,340,10,0,0,1,0,73,1,1,86,,,,,,,,,,,,,,,,,,
Liberty Hill,517,40,0,0,1,1,89,1,0,132,,,,,,,,,,,,,,,,,,
Lugoff No. 1,1352,104,5,0,3,3,151,7,1,274,,,,,,,,,,,,,,,,,,
Lugoff No. 2,1869,116,11,1,9,0,273,2,2,414,,,,,,,,,,,,,,,,,,
Lugoff No. 3,1575,89,7,1,11,1,258,1,2,370,,,,,,,,,,,,,,,,,,
Lugoff No. 4,1312,66,5,0,6,2,231,3,1,314,,,,,,,,,,,,,,,,,,
Malvern Hill,1437,201,4,1,4,2,153,6,4,375,,,,,,,,,,,,,,,,,,
Rabon's X Roads,1968,89,4,0,10,0,332,2,1,438,,,,,,,,,,,,,,,,,,
Riverdale,962,236,2,0,2,0,21,2,0,263,,,,,,,,,,,,,,,,,,
Salt Pond,1377,102,5,1,7,2,277,2,6,402,,,,,,,,,,,,,,,,,,
Shaylor's Hill,930,93,4,0,6,0,96,3,1,203,,,,,,,,,,,,,,,,,,
Springdale,1722,154,3,0,4,0,136,2,2,301,,,,,,,,,,,,,,,,,,
Westville,1611,126,10,2,5,1,242,5,0,391,,,,,,,,,,,,,,,,,,
Whites Gardens,1659,159,2,0,3,0,269,3,4,440,,,,,,,,,,,,,,,,,,
Antioch,840,45,3,1,1,1,156,2,1,210,,,,,,,,,,,,,,,,,,
Lake House,2524,148,0,2,14,2,320,1,0,487,,,,,,,,,,,,,,,,,,
Camp Creek,833,25,2,0,2,0,162,3,1,195,,,,,,,,,,,,,,,,,,
Carmel,522,90,0,0,1,0,76,0,0,167,,,,,,,,,,,,,,,,,,
Chesterfield Ave,1476,236,3,0,4,1,41,3,3,291,,,,,,,,,,,,,,,,,,
Douglas,1745,214,11,0,2,3,185,4,3,422,,,,,,,,,,,,,,,,,,
Dwight,1911,68,16,1,14,1,293,3,3,399,,,,,,,,,,,,,,,,,,
Elgin,1588,133,7,0,9,2,172,3,2,328,,,,,,,,,,,,,,,,,,
Erwin Farm,1564,217,14,0,7,1,128,4,0,371,,,,,,,,,,,,,,,,,,
Gooch's Cross Roads,2125,257,9,0,4,0,143,2,2,417,,,,,,,,,,,,,,,,,,
Heath Springs,1247,123,3,0,5,1,167,5,0,304,,,,,,,,,,,,,,,,,,
Hyde Park,1631,132,9,0,4,0,184,2,4,335,,,,,,,,,,,,,,,,,,
Jacksonham,1664,135,2,0,8,3,217,0,0,365,,,,,,,,,,,,,,,,,,
Kershaw North,1673,184,0,1,16,0,183,3,1,388,,,,,,,,,,,,,,,,,,
Kershaw South,1384,77,1,0,4,0,234,4,2,322,,,,,,,,,,,,,,,,,,
Lancaster East,2164,246,2,0,5,2,77,3,1,336,,,,,,,,,,,,,,,,,,
Lancaster West,1191,120,7,1,9,2,50,0,0,189,,,,,,,,,,,,,,,,,,
Lynwood Drive,2245,212,18,2,9,0,238,6,1,486,,,,,,,,,,,,,,,,,,
Midway,741,21,1,0,0,0,130,0,1,153,,,,,,,,,,,,,,,,,,
Pleasant Hill,1302,131,5,0,10,0,146,2,1,295,,,,,,,,,,,,,,,,,,
Pleasant Valley,3040,267,12,0,14,2,453,1,11,760,,,,,,,,,,,,,,,,,,
Rich Hill,1117,41,4,0,10,3,202,3,0,263,,,,,,,,,,,,,,,,,,
Riverside,1270,155,4,0,6,1,122,4,0,292,,,,,,,,,,,,,,,,,,
Spring Hill,1228,50,3,0,4,2,215,2,1,277,,,,,,,,,,,,,,,,,,
Unity,1351,76,1,2,2,2,182,1,0,266,,,,,,,,,,,,,,,,,,
Van Wyck,826,97,1,0,4,0,146,2,0,250,,,,,,,,,,,,,,,,,,
Possum Hollow,2618,170,1,1,13,0,416,1,5,607,,,,,,,,,,,,,,,,,,
University,1751,83,4,0,5,1,124,1,2,220,,,,,,,,,,,,,,,,,,
Shelley Mullis,2094,161,6,1,12,2,300,1,11,494,,,,,,,,,,,,,,,,,,
Black Horse Run,2704,221,6,2,6,1,409,1,9,655,,,,,,,,,,,,,,,,,,
Gold Hill,293,28,0,0,1,1,50,0,0,80,,,,,,,,,,,,,,,,,,
Harrisburg,3026,253,5,0,17,2,510,0,5,792,,,,,,,,,,,,,,,,,,
Osceola,2502,239,6,0,16,2,469,2,3,737,,,,,,,,,,,,,,,,,,
River Road,1761,134,3,0,9,1,352,2,1,502,,,,,,,,,,,,,,,,,,
The Lodge,2998,156,2,0,14,0,498,3,3,676,,,,,,,,,,,,,,,,,,
LAURENS 1,739,91,1,1,6,0,29,1,1,130,,,,,,,,,,,,,,,,,,
LAURENS 2,530,115,3,0,3,0,10,2,0,133,,,,,,,,,,,,,,,,,,
LAURENS 3,969,112,3,0,5,1,76,1,0,198,,,,,,,,,,,,,,,,,,
LAURENS 4,913,140,5,0,4,1,18,4,2,174,,,,,,,,,,,,,,,,,,
LAURENS 5,1392,65,2,0,3,1,126,1,2,200,,,,,,,,,,,,,,,,,,
LAURENS 6,1269,52,3,1,2,0,91,1,1,151,,,,,,,,,,,,,,,,,,
BAILEY,978,70,10,0,8,2,107,2,0,199,,,,,,,,,,,,,,,,,,
TRINITY RIDGE,1376,98,10,0,8,0,128,1,1,246,,,,,,,,,,,,,,,,,,
WATTSVILLE,1270,72,14,1,10,1,159,5,2,264,,,,,,,,,,,,,,,,,,
BARKSDALE-NARINE,936,70,7,1,3,2,98,0,1,182,,,,,,,,,,,,,,,,,,
MADDENS,1148,73,12,0,7,0,137,3,1,233,,,,,,,,,,,,,,,,,,
CLINTON 1,1427,132,6,0,9,3,125,2,3,280,,,,,,,,,,,,,,,,,,
CLINTON 2,1540,98,1,2,3,0,73,0,4,181,,,,,,,,,,,,,,,,,,
JOANNA,1681,106,11,0,10,4,252,4,0,387,,,,,,,,,,,,,,,,,,
LYDIA MILL,1257,155,12,1,8,1,63,5,1,246,,,,,,,,,,,,,,,,,,
MOUNTVILLE,652,60,1,1,4,0,85,0,1,152,,,,,,,,,,,,,,,,,,
CLINTON 3,1333,73,7,1,4,0,169,2,1,257,,,,,,,,,,,,,,,,,,
JONES,1449,146,8,0,7,1,253,6,0,421,,,,,,,,,,,,,,,,,,
OWINGS,747,77,4,1,2,0,124,3,2,213,,,,,,,,,,,,,,,,,,
GRAY COURT,1255,130,11,0,3,3,140,3,1,291,,,,,,,,,,,,,,,,,,
GREENPOND,1528,84,11,0,7,1,292,4,5,404,,,,,,,,,,,,,,,,,,
COOKS,2339,194,13,1,12,5,384,4,8,621,,,,,,,,,,,,,,,,,,
YOUNGS,1158,43,4,0,10,1,239,4,0,301,,,,,,,,,,,,,,,,,,
ORA-LANFORD,914,88,3,2,6,1,114,2,1,217,,,,,,,,,,,,,,,,,,
LONG BRANCH,1167,53,8,0,5,2,167,5,1,241,,,,,,,,,,,,,,,,,,
CROSS HILL,1573,154,10,0,4,0,243,7,1,419,,,,,,,,,,,,,,,,,,
WATERLOO,1538,103,7,2,5,0,240,8,1,366,,,,,,,,,,,,,,,,,,
MARTINS-POPLAR SPRINGS,670,20,2,0,0,1,137,4,0,164,,,,,,,,,,,,,,,,,,
EKOM,599,14,3,0,2,0,99,1,2,121,,,,,,,,,,,,,,,,,,
MOUNT OLIVE,1058,26,3,0,2,1,240,3,1,276,,,,,,,,,,,,,,,,,,
HICKORY TAVERN,2204,77,12,2,12,4,392,7,7,513,,,,,,,,,,,,,,,,,,
PRINCETON,277,11,0,0,1,1,52,2,1,68,,,,,,,,,,,,,,,,,,
BREWERTON,453,10,2,1,3,1,105,0,0,122,,,,,,,,,,,,,,,,,,
CLINTON MILL,1465,221,20,2,10,2,83,7,1,346,,,,,,,,,,,,,,,,,,
ASHLAND/STOKES BRIDGE,546,53,1,0,0,2,98,2,2,158,,,,,,,,,,,,,,,,,,
ASHWOOD,633,82,2,1,2,0,87,3,0,177,,,,,,,,,,,,,,,,,,
BISHOPVILLE 1,738,191,1,0,1,0,16,0,0,209,,,,,,,,,,,,,,,,,,
BISHOPVILLE 2,776,236,2,1,2,3,15,0,1,260,,,,,,,,,,,,,,,,,,
BISHOPVILLE 3,839,147,4,0,3,2,43,2,0,201,,,,,,,,,,,,,,,,,,
BISHOPVILLE 4,1149,302,3,0,3,0,31,4,0,343,,,,,,,,,,,,,,,,,,
CEDAR CREEK,318,64,1,0,3,0,31,1,2,102,,,,,,,,,,,,,,,,,,
CYPRESS,550,148,4,0,1,0,43,1,0,197,,,,,,,,,,,,,,,,,,
ELLIOTT,461,226,4,0,1,1,8,1,0,241,,,,,,,,,,,,,,,,,,
